author,lastname,firstname,feeling,title,content,anonymous,likes,time_posted
ztest@test.com,test,zac,9,,,False,0,2017-07-01 00:00:00
ztest@test.com,test,zac,1,,,False,0,2017-07-01 00:00:00
admin@na.com,Admin,Admin,4,,,False,0,2017-07-01 00:00:00
ztest@test.com,test,zac,7,,,True,0,2017-07-01 00:00:00
ztest@test.com,test,zac,9,,,True,0,2017-07-01 00:00:00
ztest@test.com,test,zac,1,,,True,0,2017-07-01 00:00:00
ztest@test.com,test,zac,5,,,True,0,2017-07-01 00:00:00
ztest@test.com,test,zac,7,,,True,0,2017-07-01 00:00:00
admin@na.com,Admin,Admin,10,,,False,0,2017-07-02 00:00:00
admin@na.com,Admin,Admin,5,,,True,0,2017-07-07 00:00:00
admin@na.com,Admin,Admin,1,,,True,0,2017-07-07 00:00:00
admin@na.com,Admin,Admin,1,,,True,0,2017-07-07 00:00:00
admin@na.com,Admin,Admin,1,,,False,0,2017-07-07 00:00:00
admin@na.com,Admin,Admin,6,,,True,0,2017-07-07 00:00:00
admin@na.com,Admin,Admin,10,,,False,0,2017-07-08 00:00:00
admin@na.com,Admin,Admin,1,,,False,0,2017-07-08 00:00:00
ztest@test.com,test,zac,0,Intern Event Tonight!,Check in at Dave and Busters for more!,False,1,2017-07-08 00:00:00
admin@na.com,Admin,Admin,10,,,False,0,2017-07-09 00:00:00
admin@na.com,Admin,Admin,2,,,False,0,2017-07-09 00:00:00
sldkg,lskdgh,sldfibh,2,sdg,sdg,True,1,2017-07-10 00:00:00
sldkg,lskdgh,sldfibh,2,sdf,sdf,True,0,2017-07-10 00:00:00
sldkg,lskdgh,sldfibh,2,dsg,sdsd,True,0,2017-07-10 00:00:00
admin@na.com,Admin,Admin,8,dsf,dsf,True,0,2017-07-10 00:00:00
admin@na.com,Admin,Admin,4,,,False,0,2017-07-10 00:00:00
admin@na.com,Admin,Admin,10,,,False,0,2017-07-10 00:00:00
sldkg,lskdgh,sldfibh,2,,,True,0,2017-07-10 00:00:00
admin@na.com,Admin,Admin,9,,,False,0,2017-07-10 00:00:00
steerzac@gmail.com,test,zac,6,,,True,0,2017-07-10 00:00:00
steerzac@gmail.com,test,zac,8,,,True,0,2017-07-10 00:00:00
sldkg,lskdgh,sldfibh,3,,,True,0,2017-07-10 00:00:00
admin@na.com,Admin,Admin,7,,,False,0,2017-07-10 00:00:00
admin@na.com,Admin,Admin,10,,,False,0,2017-07-10 00:00:00
sldkg,lskdgh,sldfibh,5,sdgdsg,sdgs,True,0,2017-07-10 00:00:00
sldkg,lskdgh,sldfibh,2,dsg,sdsd,True,0,2017-07-10 00:00:00
sldkg,lskdgh,sldfibh,2,dsf,dsf,True,0,2017-07-10 00:00:00
sldkg,lskdgh,sldfibh,7,sldigh,lsdg,True,0,2017-07-10 00:00:00
sldkg,lskdgh,sldfibh,5,oin,kj,True,1,2017-07-10 00:00:00
sharabesh97@gmail.com,Admin,Admin,0,First Day FAQ,Hey interns! We are so excited that you are finally here at Cisco. Attached is a FAQ for sorting out any first day issues. Thanks.,False,1,2017-07-16 00:00:00
sharabesh97@gmail.com,Admin,Admin,0,Most Memorable Moment,Please fill out this survey provided in the link. We want to know what your favorite memory was as an intern. www.ciscosurvey.com,False,1,2017-07-16 00:00:00
sharabesh97@gmail.com,Admin,Admin,0,Explore California,We created a slide deck to show off some of the most exciting places to visit in California. Take a look! wwwin.intern_slide_deck.com,False,1,2017-07-16 00:00:00
sharabesh97@gmail.com,Admin,Admin,0,Hey,billy2,False,0,2017-07-16 05:27:33.491994
sharabesh97@gmail.com,Admin,Admin,0,Hey,billy billy,False,1,2017-07-16 05:27:57.466359
admin@na.com,Admin,Admin,5,,,False,0,2017-07-16 21:45:31.334775
admin@na.com,Admin,Admin,5,,extension test,False,0,2017-07-16 21:45:52.343765
admin@na.com,Admin,Admin,6,,test,False,0,2017-07-17 04:28:40.035402
admin@na.com,Admin,Admin,4,,monday,False,0,2017-07-17 20:21:58.971654
admin@na.com,Admin,Admin,4,,monday,False,0,2017-07-17 20:22:01.382672
admin@na.com,Admin,Admin,7,,bleh,False,0,2017-07-17 20:44:37.169525
admin@na.com,Admin,Admin,10,,,False,0,2017-07-17 20:45:52.897053
admin@na.com,Admin,Admin,1,,,False,0,2017-07-17 20:46:47.850447
admin@na.com,Admin,Admin,10,,Tuesday,False,0,2017-07-18 14:31:56.940729
admin@na.com,Admin,Admin,1,,ugh,False,0,2017-07-18 14:41:50.267496
admin@na.com,Admin,Admin,10,,b,False,0,2017-07-18 14:50:39.026415
admin@na.com,Admin,Admin,1,,,False,0,2017-07-18 14:51:10.456202
admin@na.com,Admin,Admin,2,,,False,0,2017-07-18 14:54:12.825173
admin@na.com,Admin,Admin,10,,,False,0,2017-07-18 14:54:47.283628
steerzac@gmail.com,test,zac,1,,,False,0,2017-07-18 16:49:20.659910
admin@na.com,Admin,Admin,9,,,False,0,2017-07-18 16:57:06.647726
